PROVENANCE script=scripts/certify_right_edge_beta_taylor_arb.py
PROVENANCE script_sha256=d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
PROVENANCE git_head=d7919ff2f64ffd17669aab4fc756070cbb942a18
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 d_order=9 CWIN=3/2 splice=1/500 initial_db=0.05
beta-box [10.0,10.05]: normalized=1 regular=16
beta-box [10.05,10.1]: normalized=1 regular=16
beta-box [10.1,10.15]: normalized=1 regular=16
beta-box [10.15,10.2]: normalized=1 regular=16
beta-box [10.2,10.25]: normalized=1 regular=16
beta-box [10.25,10.3]: normalized=1 regular=16
beta-box [10.3,10.35]: normalized=1 regular=16
beta-box [10.35,10.4]: normalized=1 regular=16
beta-box [10.4,10.45]: normalized=1 regular=16
beta-box [10.45,10.5]: normalized=1 regular=16
beta-box [10.5,10.55]: normalized=1 regular=16
beta-box [10.55,10.6]: normalized=1 regular=16
beta-box [10.6,10.65]: normalized=1 regular=16
beta-box [10.65,10.7]: normalized=1 regular=16
beta-box [10.7,10.75]: normalized=1 regular=16
beta-box [10.75,10.8]: normalized=1 regular=16
beta-box [10.8,10.85]: normalized=1 regular=16
beta-box [10.85,10.9]: normalized=1 regular=16
beta-box [10.9,10.95]: normalized=1 regular=16
beta-box [10.95,11.0]: normalized=1 regular=16
beta-box [11.0,11.05]: normalized=1 regular=16
beta-box [11.05,11.1]: normalized=1 regular=16
beta-box [11.1,11.15]: normalized=1 regular=16
beta-box [11.15,11.2]: normalized=1 regular=16
beta-box [11.2,11.25]: normalized=1 regular=16
beta-box [11.25,11.3]: normalized=1 regular=16
beta-box [11.3,11.35]: normalized=1 regular=16
beta-box [11.35,11.4]: normalized=1 regular=16
beta-box [11.4,11.45]: normalized=1 regular=16
beta-box [11.45,11.5]: normalized=1 regular=16
beta-box [11.5,11.55]: normalized=1 regular=16
beta-box [11.55,11.6]: normalized=1 regular=16
beta-box [11.6,11.65]: normalized=1 regular=14
beta-box [11.65,11.7]: normalized=1 regular=14
beta-box [11.7,11.75]: normalized=1 regular=14
beta-box [11.75,11.8]: normalized=1 regular=14
beta-box [11.8,11.85]: normalized=1 regular=14
