 beta  gamma  L |  Delta(K) Delta(Kg)    4*b*L |  tanh(bL) | |l2/l1| dec   tanh b | |l2/l1| coup
 0.30   0.00  2 |    2.4000    2.4000   2.4000 |  0.537050 |    0.291313 0.291313 |     0.291313
 0.30   0.00  3 |    3.6000    3.6000   3.6000 |  0.716298 |    0.291313 0.291313 |     0.291313
 0.30   0.00  4 |    4.8000    4.8000   4.8000 |  0.833655 |    0.291313 0.291313 |     0.291313
 0.30   0.40  2 |    2.4000    2.4000   2.4000 |  0.537050 |    0.291313 0.291313 |     0.396761
 0.30   0.40  3 |    3.6000    3.6000   3.6000 |  0.716298 |    0.291313 0.291313 |     0.460955
 0.30   0.40  4 |    4.8000    4.8000   4.8000 |  0.833655 |    0.291313 0.291313 |     0.503009
 0.30   1.20  2 |    2.4000    2.4000   2.4000 |  0.537050 |    0.291313 0.291313 |     0.503715
 0.30   1.20  3 |    3.6000    3.6000   3.6000 |  0.716298 |    0.291313 0.291313 |     0.658427
 0.30   1.20  4 |    4.8000    4.8000   4.8000 |  0.833655 |    0.291313 0.291313 |     0.767526
 0.80   0.00  2 |    6.4000    6.4000   6.4000 |  0.921669 |    0.664037 0.664037 |     0.664037
 0.80   0.00  3 |    9.6000    9.6000   9.6000 |  0.983675 |    0.664037 0.664037 |     0.664037
 0.80   0.00  4 |   12.8000   12.8000  12.8000 |  0.996682 |    0.664037 0.664037 |     0.664037
 0.80   0.40  2 |    6.4000    6.4000   6.4000 |  0.921669 |    0.664037 0.664037 |     0.835293
 0.80   0.40  3 |    9.6000    9.6000   9.6000 |  0.983675 |    0.664037 0.664037 |     0.914818
 0.80   0.40  4 |   12.8000   12.8000  12.8000 |  0.996682 |    0.664037 0.664037 |     0.955007
 0.80   1.20  2 |    6.4000    6.4000   6.4000 |  0.921669 |    0.664037 0.664037 |     0.908247
 0.80   1.20  3 |    9.6000    9.6000   9.6000 |  0.983675 |    0.664037 0.664037 |     0.977021
 0.80   1.20  4 |   12.8000   12.8000  12.8000 |  0.996682 |    0.664037 0.664037 |     0.994387
